"Bins"	"RMS Error"	"Sample Standard Deviation"
2	3.2332093745	0.1682421685
3	2.8625707597	0.1583609278
4	2.6012545937	0.1620899615
5	2.6085169047	0.1643659917
6	2.5476391545	0.1246571898
7	2.5285629343	0.1523100806
8	2.4876458462	0.1415066316
9	2.5328953833	0.1478735303
10	2.5850855382	0.1539681321
11	2.6385904281	0.1512146224
12	2.6373574411	0.1419340222
13	2.6834302081	0.1811795605
14	2.6658865147	0.1590587788
15	2.6636347945	0.1725667781
16	2.6488776422	0.161201125
17	2.6486083691	0.1829259814
18	2.6226892908	0.1777683565
19	2.6352686808	0.1581677756
20	2.6458737015	0.1672765751
21	2.6156310484	0.1524668947
22	2.6376640876	0.1518566427
23	2.636344432	0.1606466731
24	2.6257048279	0.1413820279
25	2.6366155277	0.1659916566
26	2.6103144413	0.1660024481
